order_id|email|transactions_timestamp|total_item_quantity|purchase_revenue_in_usd|unique_items|items
298592|sandovalaustin@holder.com|1592629288475307|1|850.5|1|[{'coupon': 'NEWBED10'
299024|msmith@monroe.com|1592636869915092|2|1092.6|2|[{'coupon': 'NEWBED10'
300048|robertstimothy@hotmail.com|1592649862529478|1|1075.5|1|[{'coupon': 'NEWBED10'
298711|lovejamie@yahoo.com|1592631406799948|1|850.5|1|[{'coupon': 'NEWBED10'
301760|jennifer7054@gmail.com|1592661071882666|1|940.5|1|[{'coupon': 'NEWBED10'
302809|ywhite@kane.org|1592665563660982|1|1075.5|1|[{'coupon': 'NEWBED10'
309136|karen61@hotmail.com|1592689638083947|1|1795.5|1|[{'coupon': 'NEWBED10'
303941|deborah18@conrad-gallagher.com|1592669885794924|1|850.5|1|[{'coupon': 'NEWBED10'
305920|khanedwin@gmail.com|1592676863608194|1|1075.5|1|[{'coupon': 'NEWBED10'
298795|samantha4354@hotmail.com|1592632916516773|1|985.5|1|[{'coupon': 'NEWBED10'
302804|evelyn47@gmail.com|1592665548625497|1|1795.5|1|[{'coupon': 'NEWBED10'
301295|fosteradam@velez.com|1592658481727741|1|1525.5|1|[{'coupon': 'NEWBED10'
309987|jasonwilliams@webster.info|1592694259561983|1|1075.5|1|[{'coupon': 'NEWBED10'
300375|jruiz@yahoo.com|1592652450538947|1|535.5|1|[{'coupon': 'NEWBED10'
304351|ysalazar95@yahoo.com|1592671391707893|1|1075.5|1|[{'coupon': 'NEWBED10'
309404|hurleyadam@yahoo.com|1592690890611865|1|535.5|1|[{'coupon': 'NEWBED10'
309982|tracy02@hotmail.com|1592694234297909|1|53.1|1|[{'coupon': 'NEWBED10'
301759|schwartzkathleen@hotmail.com|1592661062488895|1|985.5|1|[{'coupon': 'NEWBED10'
308128|jay00@clark.com|1592685148658822|1|1615.5|1|[{'coupon': 'NEWBED10'
297368|derek05@stark.com|1592612875854409|2|1064.0|2|[{'coupon': None
297506|owoods94@hotmail.com|1592614356525616|1|945.0|1|[{'coupon': None
297581|ysilva36@yahoo.com|1592614954832869|1|945.0|1|[{'coupon': None
297538|jennifer42@carpenter-owens.com|1592614582811204|1|1095.0|1|[{'coupon': None
297530|boydkatie@hotmail.com|1592614527432637|1|1095.0|1|[{'coupon': None
297976|dicksonjanet@brown.net|1592619908363676|1|1045.0|1|[{'coupon': None
299157|lauracruz@gmail.com|1592639145726365|1|1995.0|1|[{'coupon': None
299655|mitchell52@yahoo.com|1592645548817756|2|754.0|2|[{'coupon': None
299887|stacie24@aguirre.org|1592648291732964|1|1045.0|1|[{'coupon': None
300164|abranch@walton.info|1592650815520355|1|595.0|1|[{'coupon': None
300272|andrew432@gmail.com|1592651806352366|1|1195.0|1|[{'coupon': None
301348|richardmegan@bailey.com|1592658780487580|1|1045.0|1|[{'coupon': None
300944|matthew97@reed.com|1592656529862718|1|1195.0|1|[{'coupon': None
301185|cherylsimpson@yahoo.com|1592657860084750|1|945.0|1|[{'coupon': None
300712|jacksonashley@webb.com|1592655029701273|1|59.0|1|[{'coupon': None
302420|stacy01@mendoza.com|1592663952584298|1|595.0|1|[{'coupon': None
301297|twhite@evans.com|1592658494266152|2|1124.0|2|[{'coupon': None
302264|deniselyons@hotmail.com|1592663310113002|1|1045.0|1|[{'coupon': None
302173|deanyoung@daniels.org|1592662891205529|1|1195.0|1|[{'coupon': None
303132|matthewgreen@gonzalez-leon.org|1592666797720013|1|1995.0|1|[{'coupon': None
301919|jsmith@bush.com|1592661851899322|1|119.0|1|[{'coupon': None
302292|proberts26@hotmail.com|1592663403503483|1|945.0|1|[{'coupon': None
302573|laurengarza@hotmail.com|1592664568142837|1|1045.0|1|[{'coupon': None
303051|kristen3414@hotmail.com|1592666528648533|1|595.0|1|[{'coupon': None
303254|diazwilliam62@yahoo.com|1592667280807392|1|595.0|1|[{'coupon': None
303097|michellemacias@gmail.com|1592666676272647|1|1045.0|1|[{'coupon': None
302765|joan51@ruiz.biz|1592665382973015|1|595.0|1|[{'coupon': None
303416|kempjon@silva.com|1592667866273968|1|1045.0|1|[{'coupon': None
302496|benjaminnichols@yahoo.com|1592664294109779|1|1195.0|1|[{'coupon': None
304171|james66@fletcher.biz|1592670784122769|1|79.0|1|[{'coupon': None
303183|andrew82@hotmail.com|1592666998040994|2|1190.0|1|[{'coupon': None
304226|lmills@taylor-mooney.com|1592670979414245|1|1195.0|1|[{'coupon': None
303237|brentdiaz@burgess-atkinson.com|1592667215956111|1|1195.0|1|[{'coupon': None
305446|bailey13@petersen.com|1592675175250972|1|1045.0|1|[{'coupon': None
